"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"`P3372R3 <https://wg21.link/P3372R3>`__","constexpr containers and adaptors","2025-02 (Hagenberg)","|Complete|","","`#127876 <https://github.com/llvm/llvm-project/issues/127876>`__","Closed 2026-09-07: stack/queue/priority_queue made fully constexpr (2026-09-06/07). list and forward_list are already fully constexpr via real upstream P3372R3 commits already merged into this branch (confirmed: 217x/186x _LIBCPP_CONSTEXPR_SINCE_CXX26 respectively). flat_map/flat_multimap/flat_set/flat_multiset are also already fully constexpr (confirmed by direct inspection, no missing members found) -- the prior note calling these ``unaudited`` was stale. deque made fully constexpr 2026-09-07 (backend __split_buffer was already constexpr since C++20). unordered_map/unordered_multimap/unordered_set/unordered_multiset made constexpr-usable 2026-09-07 for the common case (integral/enum/nullptr_t keys, power-of-two bucket growth via reserve(), no duplicate-key lookups) -- see docs/CXX26_GAPS.md for three documented boundaries found along the way (std::hash's union-based scalar hashing -- not a P3372R3 requirement -- __next_prime being a non-inline ABI-exported symbol, and a goto in the duplicate-key fast path that this compiler's constant evaluator rejects outright, all independent compiler/library limitations rather than gaps in this paper's own requirements). map/multimap/set/multiset also made fully constexpr 2026-09-07 (__tree backend) -- hits none of unordered_map's bucket-array/hash/goto boundaries, duplicate-key insertion works fine; does hit the same const_cast-based in-place key reuse during same-size copy-assignment unordered_map does, documented not fixed. node_handle made fully constexpr 2026-09-07 for all four map/set families except key(), excluded per CWG2514 matching upstream's own carve-out. Every container this fork tracks now has its full member surface marked constexpr as the paper requires."
"`P3378R2 <https://wg21.link/P3378R2>`__","constexpr exception types","2025-02 (Hagenberg)","|Complete|","22","`#26 <https://github.com/spwn02/clang-cxx26/issues/26>`__","C++26 constant evaluation copies exception messages into independently allocated character storage; runtime retains libc++'s existing refcounted representation and legacy exported symbols."
"`P3441R2 <https://wg21.link/P3441R2>`__","Rename ``simd_split`` to ``simd_chunk``","2025-02 (Hagenberg)","|Complete|","","`#127878 <https://github.com/llvm/llvm-project/issues/127878>`__","Audited 2026-09-06: no ``simd_split`` occurs anywhere in implementation or tests; ``chunk`` (both deduced- and explicit-width overloads) is already the only name used."
"`P3287R3 <https://wg21.link/P3287R3>`__","Exploration of namespaces for ``std::simd``","2025-02 (Hagenberg)","|Complete|","","`#127879 <https://github.com/llvm/llvm-project/issues/127879>`__","Resolved 2026-09-06 as moot: the adopted standard uses plain ``namespace std::simd``, already exactly what this fork implements."
"`P2976R1 <https://wg21.link/P2976R1>`__","Freestanding Library: ``algorithm``, ``numeric``, and ``random``","2025-02 (Hagenberg)","","","`#127880 <https://github.com/llvm/llvm-project/issues/127880>`__",""
"`P3430R3 <https://wg21.link/P3430R3>`__","simd issues: explicit, unsequenced, identity-element position, and members of disabled simd","2025-02 (Hagenberg)","|Complete|","","`#127881 <https://github.com/llvm/llvm-project/issues/127881>`__","Audited 2026-09-06 against adopted wording: broadcast ctor value-preserving-constrained, generator ctor explicit with one invocation per index in increasing order, identity_element positioned after binary_op, disabled specializations retain only documented members. All match."
"`P2663R7 <https://wg21.link/P2663R7>`__","Interleaved complex values support in ``std::simd``","2025-02 (Hagenberg)","|Complete|","","`#127882 <https://github.com/llvm/llvm-project/issues/127882>`__","Audited 2026-09-06: complex vector elements, construction from separate real/imaginary vectors, real()/imag() accessors/mutators, and complex math overloads all present and match adopted wording."
"`P2933R4 <https://wg21.link/P2933R4>`__","Extend ``<bit>`` header function with overloads for ``std::simd``","2025-02 (Hagenberg)","|Complete|","","`#127883 <https://github.com/llvm/llvm-project/issues/127883>`__","Corrected 2026-09-07: the 2026-09-06 audit's ``bit_reverse``/``shl``/``shr``/``bit_repeat``/``bit_compress``/``bit_expand`` gap was a false positive from ``eel.is``'s live draft absorbing already-plenary-approved **C++29** content (P3104R6, P3793R2, P3772R2 -- confirmed via each paper's GitHub plenary-approval labels, none tagged C++26) into what reads like C++26's ``[bit]``/``[simd.bit]`` clauses. P2933R4 itself only adds ``std::simd`` overloads for the C++20/23 ``<bit>`` functions that already exist (``byteswap``/``bit_ceil``/``bit_floor``/``has_single_bit``/``rotl``/``rotr``/``bit_width``/``countl_zero``/``countl_one``/``countr_zero``/``countr_one``/``popcount``), all already implemented in ``__simd/bit.h``. Nothing further to do for C++26; the 6 functions are out of scope until this fork tracks C++29."
"`P2846R6 <https://wg21.link/P2846R6>`__","``reserve_hint``: Eagerly reserving memory for not-quite-sized lazy ranges","2025-02 (Hagenberg)","|Complete|","","`#127884 <https://github.com/llvm/llvm-project/issues/127884>`__",""
"`P3471R4 <https://wg21.link/P3471R4>`__","Standard Library Hardening","2025-02 (Hagenberg)","|Complete|","","`#127885 <https://github.com/llvm/llvm-project/issues/127885>`__","Runtime checks: audited every cell of the paper's two hardened-precondition tables plus its additional-functions list against this fork's pre-existing (upstream-inherited) ``_LIBCPP_ASSERT_VALID_ELEMENT_ACCESS``-based hardening mode. Fixed two real gaps: ``inplace_vector`` (``operator[]``/``front()``/``back()``/``pop_back()``) had zero hardening in both the ``N > 0`` and ``N == 0`` specializations, and ``mdspan::operator[]``'s ``array``/``span`` overloads were unchecked (only the variadic pack overload had the precondition). ``forward_list::front()``/``pop_front()`` deliberately keep ``_LIBCPP_ASSERT_NON_NULL`` (checked in extensive/debug, not fast) rather than ``_LIBCPP_ASSERT_VALID_ELEMENT_ACCESS``: the paper does not mandate a fast/extensive/debug tier split, an empty ``forward_list``'s failure mode really is a null dereference rather than an OOB read, and changing it would be unrequested divergence from upstream. FTMs (2026-09-06): the 14 ``__cpp_lib_hardened_*`` macros are now defined at 202502L. The earlier ``|Partial|`` status was because [10.11] proposed them as literal 20????L placeholders; the adopted wording assigns concrete values, verified against eel.is/c++draft/version.syn directly. Each macro is guarded rather than unconditional, because under ``_LIBCPP_HARDENING_MODE_NONE`` libc++ is by [structure.specifications] a non-hardened implementation where these violations are plain UB, so advertising the macro would overclaim. Thirteen use ``_LIBCPP_HARDENING_MODE != _LIBCPP_HARDENING_MODE_NONE``; ``__cpp_lib_hardened_forward_list`` uses ``== EXTENSIVE || == DEBUG`` to match the ``NON_NULL`` decision above, which makes that deliberate tier choice visible in the macro instead of silently overclaiming in fast mode. Note the mode constants are deliberately not ordered, so these must be equality comparisons, never ``>=``. See ``docs/CXX26_GAPS.md`` Tier 6."
"`P0447R28 <https://wg21.link/P0447R28>`__","Introduction of ``std::hive`` to the standard library","2025-02 (Hagenberg)","|Complete|","","`#127886 <https://github.com/llvm/llvm-project/issues/127886>`__",""
"`P3019R14 <https://wg21.link/P3019R14>`__","``indirect`` and ``polymorphic``: Vocabulary Types for Composite Class Design","2025-02 (Hagenberg)","|Complete|","","`#127887 <https://github.com/llvm/llvm-project/issues/127887>`__",""
"","","","","","",""
"`P2996R13 <https://wg21.link/P2996R13>`__","Reflection for C++26","2025-06 (Sofia)","|Complete|","","`#148123 <https://github.com/llvm/llvm-project/issues/148123>`__",""
"`P3394R4 <https://wg21.link/P3394R4>`__","Annotations for Reflection","2025-06 (Sofia)","|Complete|","","`#148124 <https://github.com/llvm/llvm-project/issues/148124>`__",""
"`P3293R3 <https://wg21.link/P3293R3>`__","Splicing a base class subobject","2025-06 (Sofia)","|Complete|","","`#148125 <https://github.com/llvm/llvm-project/issues/148125>`__",""
"`P3491R3 <https://wg21.link/P3491R3>`__","``define_static_{string,object,array}``","2025-06 (Sofia)","|Complete|","","`#148126 <https://github.com/llvm/llvm-project/issues/148126>`__",""
"`P3096R12 <https://wg21.link/P3096R12>`__","Function Parameter Reflection in Reflection for C++26","2025-06 (Sofia)","|Complete|","","`#148127 <https://github.com/llvm/llvm-project/issues/148127>`__",""
"`P2988R12 <https://wg21.link/P2988R12>`__","``std::optional<T&>``","2025-06 (Sofia)","|Complete|","22","`#148131 <https://github.com/llvm/llvm-project/issues/148131>`__","Includes the shared [optional.iterators] range support added to the primary (non-reference) ``optional<T>`` by the same paper."
"`P3348R4 <https://wg21.link/P3348R4>`__","C++26 should refer to C23 not C17","2025-06 (Sofia)","","","`#148133 <https://github.com/llvm/llvm-project/issues/148133>`__",""
"`P3037R6 <https://wg21.link/P3037R6>`__","``constexpr`` ``std::shared_ptr`` and friends","2025-06 (Sofia)","","","`#148135 <https://github.com/llvm/llvm-project/issues/148135>`__",""
"`P3284R4 <https://wg21.link/P3284R4>`__","``write_env`` and ``unstoppable`` Sender Adaptors","2025-06 (Sofia)","","","`#148136 <https://github.com/llvm/llvm-project/issues/148136>`__",""
"`P3179R9 <https://wg21.link/P3179R9>`__","Parallel Range Algorithms","2025-06 (Sofia)","","","`#148137 <https://github.com/llvm/llvm-project/issues/148137>`__",""
"`P3709R2 <https://wg21.link/P3709R2>`__","Reconsider parallel ``ranges::rotate_copy`` and ``ranges::reverse_copy``","2025-06 (Sofia)","","","`#148138 <https://github.com/llvm/llvm-project/issues/148138>`__",""
"`P3641R0 <https://wg21.link/P3641R0>`__","Rename ``std::observable`` to ``std::observable_checkpoint``, and add a feature-test macro","2025-06 (Sofia)","","","`#148139 <https://github.com/llvm/llvm-project/issues/148139>`__",""
"`P3044R2 <https://wg21.link/P3044R2>`__","sub-``string_view`` from ``string``","2025-06 (Sofia)","|Complete|","22","`#148140 <https://github.com/llvm/llvm-project/issues/148140>`__",""
"`P2876R3 <https://wg21.link/P2876R3>`__","Proposal to extend ``std::simd`` with more constructors and accessors","2025-06 (Sofia)","|Partial|","","`#148143 <https://github.com/llvm/llvm-project/issues/148143>`__","Audited 2026-09-06: range and complex constructors/accessors are present. Closed the range-constructor deduction-guide gap; the constructor still does not enforce the adopted constant-expression size constraint by deliberate design. See docs/CXX26_GAPS.md Tier 7."
"`P3480R6 <https://wg21.link/P3480R6>`__","``std::simd`` is a range","2025-06 (Sofia)","|Complete|","","`#148144 <https://github.com/llvm/llvm-project/issues/148144>`__","Audited 2026-09-06: __simd/iterator.h supplies the adopted exposition-only random-access-iterator surface exactly; basic_vec and basic_mask both expose begin/cbegin/end/cend."
"`P2664R11 <https://wg21.link/P2664R11>`__","Extend ``std::simd`` with permutation API","2025-06 (Sofia)","|Partial|","","`#148145 <https://github.com/llvm/llvm-project/issues/148145>`__","Audited 2026-09-06: static/dynamic permute, compress, expand, gather, scatter are all implemented, but the adopted static-permute wording mandates every generated index be a constant expression -- the implementation explicitly documents (permute.h:54) that it does not enforce this for non-constexpr generators. A conformance gap, not a missing-feature one. Re-assessed 2026-09-07 with a concrete design attempt, deliberately deferred, not abandoned without trying: the generator arrives at permute() as an ordinary (non-constexpr) function parameter, so no purely-type-level trick (SFINAE requires-clause, or the immediate-escalating-function mechanism this same session used successfully for P2757R3's check_dynamic_spec, which only works because that check depends on template *type* arguments alone) can force per-index constant-expression verification of a runtime object's *call results* -- the object itself is unreachable from a nested consteval context without already being a compile-time constant at the call site, which it structurally isn't. Confirmed this is not a novel obstacle: basic_vec.h's own generator constructor ([simd.ctor]/8, __vec_generator_ok) has the identical shape of problem and only verifies SFINAE-style callability/return-type validity, not per-index constexpr-ness -- and documents its own adjacent, differently-shaped ``KNOWN DEVIATION`` (basic_vec.h:199) for the same reason. Needs real core-language support, not library-level cleverness."
"`P3691R1 <https://wg21.link/P3691R1>`__","Reconsider naming of the namespace for ``std::simd``","2025-06 (Sofia)","|Complete|","","`#148148 <https://github.com/llvm/llvm-project/issues/148148>`__","Resolved 2026-09-06 as moot -- same finding as P3287R3."
"`P3383R3 <https://wg21.link/P3383R3>`__","``mdspan.at()``","2025-06 (Sofia)","","","`#148149 <https://github.com/llvm/llvm-project/issues/148149>`__",""
"`P2927R3 <https://wg21.link/P2927R3>`__","Inspecting ``exception_ptr``","2025-06 (Sofia)","","","`#148150 <https://github.com/llvm/llvm-project/issues/148150>`__",""
"`P3748R0 <https://wg21.link/P3748R0>`__","Inspecting ``exception_ptr`` should be constexpr","2025-06 (Sofia)","","","`#148151 <https://github.com/llvm/llvm-project/issues/148151>`__",""
"`P2830R10 <https://wg21.link/P2830R10>`__","Standardized Constexpr Type Ordering","2025-06 (Sofia)","","","`#148152 <https://github.com/llvm/llvm-project/issues/148152>`__",""
"`P3570R2 <https://wg21.link/P3570R2>`__","optional variants in sender/receiver","2025-06 (Sofia)","","","`#148153 <https://github.com/llvm/llvm-project/issues/148153>`__",""
"`P3481R5 <https://wg21.link/P3481R5>`__","``std::execution::bulk()`` issues","2025-06 (Sofia)","","","`#148155 <https://github.com/llvm/llvm-project/issues/148155>`__",""
"`P3433R1 <https://wg21.link/P3433R1>`__","Allocator Support for Operation States","2025-06 (Sofia)","","","`#148157 <https://github.com/llvm/llvm-project/issues/148157>`__",""
"`P3149R11 <https://wg21.link/P3149R11>`__","``async_scope`` - Creating scopes for non-sequential concurrency","2025-06 (Sofia)","","","`#148158 <https://github.com/llvm/llvm-project/issues/148158>`__",""
"`P3682R0 <https://wg21.link/P3682R0>`__","Remove ``std::execution::split``","2025-06 (Sofia)","","","`#148160 <https://github.com/llvm/llvm-project/issues/148160>`__",""
"`P2079R10 <https://wg21.link/P2079R10>`__","Parallel scheduler","2025-06 (Sofia)","","","`#148161 <https://github.com/llvm/llvm-project/issues/148161>`__",""
"`P3557R3 <https://wg21.link/P3557R3>`__","High-Quality Sender Diagnostics with Constexpr Exceptions","2025-06 (Sofia)","","","`#148162 <https://github.com/llvm/llvm-project/issues/148162>`__",""
"`P3560R2 <https://wg21.link/P3560R2>`__","Error Handling in Reflection","2025-06 (Sofia)","","","`#148128 <https://github.com/llvm/llvm-project/issues/148128>`__",""
"`P3503R3 <https://wg21.link/P3503R3>`__","Make type-erased allocator use in ``promise`` and ``packaged_task`` consistent","2025-06 (Sofia)","","","`#148164 <https://github.com/llvm/llvm-project/issues/148164>`__",""
"`P3008R6 <https://wg21.link/P3008R6>`__","Atomic floating-point min/max","2025-06 (Sofia)","|Complete|","22","`#148168 <https://github.com/llvm/llvm-project/issues/148168>`__",""
"`P3111R8 <https://wg21.link/P3111R8>`__","Atomic Reduction Operations","2025-06 (Sofia)","|Complete|","22","`#148174 <https://github.com/llvm/llvm-project/issues/148174>`__",""
"`P3060R3 <https://wg21.link/P3060R3>`__","Add ``std::views::indices(n)``","2025-06 (Sofia)","|Complete|","22","`#148175 <https://github.com/llvm/llvm-project/issues/148175>`__",""
"`P2319R5 <https://wg21.link/P2319R5>`__","Prevent ``path`` presentation problems","2025-06 (Sofia)","","","`#148177 <https://github.com/llvm/llvm-project/issues/148177>`__",""
"`P3223R2 <https://wg21.link/P3223R2>`__","Making ``std::istream::ignore`` less surprising","2025-06 (Sofia)","|Complete|","22","`#148178 <https://github.com/llvm/llvm-project/issues/148178>`__",""
"`P2781R9 <https://wg21.link/P2781R9>`__","``std::constant_wrapper``","2025-06 (Sofia)","|Complete|","","`#148179 <https://github.com/llvm/llvm-project/issues/148179>`__","Completed 2026-09-07: all 45 operators implemented. The 10 compound-assignment operators were blocked by a real, isolated compiler bug (dependent ``CompoundAssignOperator`` value-kind inconsistency, ``clang/lib/AST/ExprClassification.cpp:74``, a one-token ``VK_LValue``->``VK_PRValue`` fix) -- root-caused and fixed, not a library workaround. See ``docs/CXX26_GAPS.md`` Tier 6. Unverified whether this satisfies downstream P3222R0's needs -- check before treating that chain as unblocked."
"`P3697R1 <https://wg21.link/P3697R1>`__","Minor additions to C++26 standard library hardening","2025-06 (Sofia)","|Complete|","","`#148180 <https://github.com/llvm/llvm-project/issues/148180>`__","4 of 5 components: ``view_interface``/``common_iterator`` already conformant upstream; ``counted_iterator`` had 6 assertions miscategorized as ``_LIBCPP_ASSERT_UNCATEGORIZED`` (a no-op in ``fast`` mode), recategorized to ``_LIBCPP_ASSERT_VALID_ELEMENT_ACCESS``; ``shared_ptr<T[N]>::operator[]`` hardening added. ``basic_stacktrace`` is out of scope: ``<stacktrace>`` is unimplemented in this fork (P0881R7). 4 FTMs at 202506L (no ``_basic_stacktrace`` macro). See ``docs/CXX26_GAPS.md`` Tier 6."
"`P3552R3 <https://wg21.link/P3552R3>`__","Add a Coroutine Task Type","2025-06 (Sofia)","","","`#148182 <https://github.com/llvm/llvm-project/issues/148182>`__",""
"`P1317R2 <https://wg21.link/P1317R2>`__","Remove return type deduction in ``std::apply``","2025-06 (Sofia)","|Complete|","","`#148183 <https://github.com/llvm/llvm-project/issues/148183>`__","Implemented the ``apply_result`` trait and changed ``apply`` to use its explicitly substituted result type."
"","","","","","",""
"`P3920R0 <https://wg21.link/P3920R0>`__","Wording for NB comment resolution on trivial relocation","2025-11 (Kona)","|Nothing To Do|","","`#171269 <https://github.com/llvm/llvm-project/issues/171269>`__",""
"`P3016R6 <https://wg21.link/P3016R6>`__","Resolve inconsistencies in begin/end for ``valarray`` and braced initializer lists","2025-11 (Kona)","|Complete|","26","`#171271 <https://github.com/llvm/llvm-project/issues/171271>`__","Added valarray member begin()/end()/iterator/const_iterator (C++26), removed the old non-member overloads for C++26, and added conditional noexcept to the generic begin/end/rbegin/rend accessors."
"`P3567R2 <https://wg21.link/P3567R2>`__","``flat_meow`` Fixes","2025-11 (Kona)","|Complete|","22","`#171272 <https://github.com/llvm/llvm-project/issues/171272>`__",""
"`P3663R3 <https://wg21.link/P3663R3>`__","Future-proof ``submdspan_mapping``","2025-11 (Kona)","","","`#166089 <https://github.com/llvm/llvm-project/issues/166089>`__",""
"`P3914R0 <https://wg21.link/P3914R0>`__","Assorted NB comment resolutions for Kona 2025","2025-11 (Kona)","","","`#171274 <https://github.com/llvm/llvm-project/issues/171274>`__",""
"`P3836R2 <https://wg21.link/P3836R2>`__","Make ``optional<T&>`` trivially copyable","2025-11 (Kona)","|Complete|","22","`#171275 <https://github.com/llvm/llvm-project/issues/171275>`__",""
"`P3860R1 <https://wg21.link/P3860R1>`__","Proposed Resolution for NB Comment GB13-309 ``atomic_ref<T>`` is not convertible to ``atomic_ref<const T>``","2025-11 (Kona)","|Complete|","","`#171276 <https://github.com/llvm/llvm-project/issues/171276>`__","Added the converting constructor to all 4 ``atomic_ref`` specializations, constrained on a new ``__is_similar_v`` trait (``__type_traits/is_similar.h``) and ``is_convertible_v<U*, T*>``, matching the adopted wording exactly. DR against C++20, no new FTM. See ``docs/CXX26_GAPS.md`` Tier 4."
"`P3388R3 <https://wg21.link/P3388R3>`__","When Do You Know ``connect`` Doesn’t Throw?","2025-11 (Kona)","","","`#171277 <https://github.com/llvm/llvm-project/issues/171277>`__",""
"`P3774R1 <https://wg21.link/P3774R1>`__","Rename ``std::nontype`` to ``std::constant_arg``","2025-11 (Kona)","|Complete|","","`#171279 <https://github.com/llvm/llvm-project/issues/171279>`__",""
"`P3819R0 <https://wg21.link/P3819R0>`__","Remove ``evaluation_exception()`` from contract-violation handling for C++26","2025-11 (Kona)","|Complete|","","`#171280 <https://github.com/llvm/llvm-project/issues/171280>`__","``contract_violation`` never had an ``evaluation_exception()`` member function to remove (verified against the paper: it only removes that member function, not the ``detection_mode::evaluation_exception`` enumerator, which correctly stays)."
"`P3612R1 <https://wg21.link/P3612R1>`__","Harmonize proxy-reference operations (LWG 3638 and 4187)","2025-11 (Kona)","|Complete|","","`#171281 <https://github.com/llvm/llvm-project/issues/171281>`__","Verified: bitset<N>::reference is a typedef for __bit_reference<__bitset> (libcxx/include/bitset), the same class vector<bool>::reference uses (libcxx/include/__bit_reference), which already has all 4 required swap overloads (LWG3638) and a const-qualified operator=(bool) (LWG4187). Confirmed with a direct compile+run test exercising both."
"`P3778R0 <https://wg21.link/P3778R0>`__","Fix for ``type_order`` template definition","2025-11 (Kona)","","","`#171284 <https://github.com/llvm/llvm-project/issues/171284>`__",""
"`P1789R3 <https://wg21.link/P1789R3>`__","Library Support for Expansion Statements","2025-11 (Kona)","|Complete|","22","`#167268 <https://github.com/llvm/llvm-project/issues/167268>`__",""
"`P3922R1 <https://wg21.link/P3922R1>`__","Missing deduction guide from ``simd::mask`` to ``simd::vec``","2025-11 (Kona)","|Complete|","","`#171285 <https://github.com/llvm/llvm-project/issues/171285>`__","Added 2026-09-06: basic_vec(basic_mask<Bytes, Abi>) -> basic_vec<integer_from<Bytes>, Abi> per adopted [simd.ctor]/17-19."
"`P3878R1 <https://wg21.link/P3878R1>`__","Standard library hardening should not use the 'observe' semantic","2025-11 (Kona)","|Complete|","","`#171286 <https://github.com/llvm/llvm-project/issues/171286>`__",""
"`P3887R1 <https://wg21.link/P3887R1>`__","Make ``when_all`` a Ronseal Algorithm","2025-11 (Kona)","","","`#171289 <https://github.com/llvm/llvm-project/issues/171289>`__",""
"`P3923R0 <https://wg21.link/P3923R0>`__","Additional NB comment resolutions for Kona 2025","2025-11 (Kona)","","","`#171290 <https://github.com/llvm/llvm-project/issues/171290>`__",""
"`P3371R5 <https://wg21.link/P3371R5>`__","Fix C++26 by making the rank-1, rank-2, rank-k, and rank-2k updates consistent with the BLAS","2025-11 (Kona)","|Complete|","","`#171291 <https://github.com/llvm/llvm-project/issues/171291>`__","Not in this CSV at all until 2026-08-24: found by tracing the live draft's ``__cpp_lib_linalg`` value (``202511L``) back through ``cplusplus/draft`` commit history to identify what it actually requires, rather than leaving the gap between it and this fork's ``202311L`` unverified (see P1673R13's row). Of its four required changes: (1) updating (E-taking) overloads for every rank-1/2/k/2k update, (2) overwriting-not-accumulating semantics for the alpha-only overloads, and (4) alpha-only overloads plus the ``scalar``-excludes-mdspan/execution_policy constraint were already present/correct in this fork before this session (predating the P1673R13 SFINAE-retrofit work). (3) was genuinely missing: ``hermitian_matrix_rank_1_update`` and ``hermitian_matrix_rank_k_update`` used ``alpha`` directly instead of ``real-if-needed(alpha)``, and all four ``hermitian_matrix_rank_{1,2,k,2k}_update`` E-taking overloads used ``E[i, i]`` directly instead of ``real-if-needed(E[i, i])`` on the diagonal -- both meant a complex ``alpha`` or a not-quite-Hermitian ``E`` diagonal could leave a nonzero imaginary part on the result's diagonal, which is required to stay real for a Hermitian matrix. Fixed in ``libcxx/include/linalg``; added ``hermitian_real_if_needed.pass.cpp`` with inputs whose ``alpha``/``E`` diagonal have deliberately nonzero imaginary parts (the pre-existing ``rank_updates.pass.cpp`` inputs were all already real there, so the bug was untested). Item (2) (overwriting-not-accumulating) was subsequently verified by reading, not just checking, every non-E overload's body across symmetric/hermitian rank-1/2/k/2k -- all confirmed correct. Post-fix review also found the same diagnostic-omitted-real-if-needed bug is not specific to the rank-update family's ``E`` parameter: ``[linalg.general]`` paragraph 4 states the identical diagonal rule generally, for any function reading through a triangle-tagged, ``hermitian``-named matrix parameter. That covers ``hermitian_matrix_vector_product`` and all four ``hermitian_matrix_product``/``[linalg.algs.blas3.xxmm]`` overloads (whichever argument is the Hermitian factor), which had the identical unfixed stored-vs-conjugated-vs-diagonal branch. Fixed those 6 call sites too, with 3 more test cases (one per distinct index-pair shape: the vector case and both matrix-product factor orderings) verified against a scratch binary before being added to the lit test. Does not by itself unblock the ``__cpp_lib_linalg`` FTM bump to ``202511L`` -- P3222R0 (also in this CSV, still blank status) is earlier in the same chain and remains genuinely blocked on P2642R6/``std::constant_wrapper``; see docs/CXX26_GAPS.md's mdspan sub-plan."
"`P3391R2 <https://wg21.link/P3391R2>`__","``constexpr`` ``std::format``","2025-11 (Kona)","","","`#171292 <https://github.com/llvm/llvm-project/issues/171292>`__",""
"`P3913R1 <https://wg21.link/P3913R1>`__","Optimize ``for std::optional`` in range adaptors","2025-11 (Kona)","","","`#171294 <https://github.com/llvm/llvm-project/issues/171294>`__",""
"","","","","","",""
